id_beneficiario,id_projeto,nome,cpf,dt_nascimento,sexo,escolaridade,renda_mensal,faixa_renda,chefe_familia,dt_cadastro
29,2,Amanda Oliveira,848.569.763-42,1977-04-19,M,Fundamental,6623.46,De R$ 4.401 a R$ 8.000,N,2019-07-01
30,2,Beatriz Oliveira,725.976.754-61,2010-12-09,F,Superior,5655.69,De R$ 4.401 a R$ 8.000,S,2019-07-28
31,2,Fernanda Rodrigues,431.354.106-43,1968-07-22,F,Médio,2130.42,Até R$ 2.640,N,2019-06-24
32,2,Vanessa Silva,367.769.468-98,1989-07-28,M,Fundamental,2974.01,De R$ 2.641 a R$ 4.400,S,2019-08-14
33,2,Larissa Souza,806.220.754-47,1987-07-11,F,Médio,1949.96,Até R$ 2.640,S,2019-05-21
34,2,Rafael Ferreira,525.818.662-70,2002-11-25,M,Médio,1902.94,Até R$ 2.640,S,2019-08-29
35,2,Marcos Santos,677.214.163-80,2000-01-30,M,Médio,4602.85,De R$ 4.401 a R$ 8.000,S,2019-07-09
36,2,Beatriz Nascimento,600.193.622-67,2006-09-06,M,Pós-graduação,3981.25,De R$ 2.641 a R$ 4.400,S,2019-08-26
37,2,João Alves,573.788.926-49,1997-04-08,M,Pós-graduação,4088.95,De R$ 2.641 a R$ 4.400,N,2019-04-17
38,2,João Costa,452.817.165-79,1979-07-20,M,Fundamental,4963.84,De R$ 4.401 a R$ 8.000,N,2019-04-25
39,2,Fernanda Costa,483.491.559-58,1985-10-03,F,Fundamental,3743.84,De R$ 2.641 a R$ 4.400,S,2019-10-01
40,2,Diego Costa,641.230.845-38,1991-03-14,M,Fundamental,1654.16,Até R$ 2.640,N,2019-08-13
41,2,Patrícia Lima,353.571.454-29,2008-11-04,F,Médio,3853.72,De R$ 2.641 a R$ 4.400,S,2019-04-25
42,2,Ana Lima,311.168.203-86,1997-08-11,M,Pós-graduação,5227.45,De R$ 4.401 a R$ 8.000,S,2019-06-18
43,2,Ricardo Alves,322.872.984-17,1963-12-20,M,Superior,3696.31,De R$ 2.641 a R$ 4.400,S,2019-09-11
44,2,Amanda Lima,409.997.246-94,1988-08-10,M,Pós-graduação,4957.82,De R$ 4.401 a R$ 8.000,N,2019-06-26
45,2,Vanessa Oliveira,741.795.537-81,1965-06-20,F,Fundamental,4808.37,De R$ 4.401 a R$ 8.000,N,2019-09-28
46,2,Amanda Costa,518.252.407-58,1994-03-12,M,Pós-graduação,6457.79,De R$ 4.401 a R$ 8.000,S,2019-06-13
47,2,Fernanda Rodrigues,159.675.522-63,1986-12-24,M,Pós-graduação,6974.3,De R$ 4.401 a R$ 8.000,S,2019-06-21
48,2,Maria Rodrigues,967.479.194-78,1978-03-29,M,Fundamental,3177.89,De R$ 2.641 a R$ 4.400,N,2019-07-22
49,2,Maria Lima,923.879.701-95,2014-04-10,M,Pós-graduação,5141.04,De R$ 4.401 a R$ 8.000,S,2019-07-11
50,2,Ana Lima,294.859.220-71,1987-03-14,M,Médio,7690.54,De R$ 4.401 a R$ 8.000,N,2019-06-17
51,2,Pedro Costa,577.646.764-55,2009-07-12,F,Superior,3115.63,De R$ 2.641 a R$ 4.400,N,2019-08-26
52,2,Bruno Ferreira,308.479.420-62,2004-08-11,M,Médio,4155.23,De R$ 2.641 a R$ 4.400,S,2019-04-21
53,2,Vanessa Nascimento,837.527.402-29,1983-05-25,M,Superior,4783.84,De R$ 4.401 a R$ 8.000,S,2019-07-23
54,2,Bruno Alves,770.801.445-42,2011-02-12,F,Pós-graduação,6800.21,De R$ 4.401 a R$ 8.000,N,2019-05-30
55,2,Diego Rodrigues,288.655.757-17,1991-08-06,M,Fundamental,2018.71,Até R$ 2.640,S,2019-04-18
56,2,Ricardo Santos,824.254.109-37,1996-12-30,F,Superior,1789.94,Até R$ 2.640,S,2019-09-22
57,2,Ana Silva,644.664.521-11,2003-05-08,M,Superior,5546.85,De R$ 4.401 a R$ 8.000,N,2019-04-21
58,2,Felipe Oliveira,209.198.636-29,2005-01-20,M,Médio,6654.73,De R$ 4.401 a R$ 8.000,N,2019-07-16
59,4,Patrícia Rodrigues,678.349.813-38,1995-08-10,F,Fundamental,1368.94,Até R$ 2.640,S,2023-01-05
60,4,Diego Rodrigues,157.752.109-99,1996-05-11,M,Fundamental,3530.7,De R$ 2.641 a R$ 4.400,N,2023-04-03
61,4,Carlos Alves,143.335.316-98,1989-09-20,F,Superior,4874.17,De R$ 4.401 a R$ 8.000,S,2023-01-01
62,4,Vanessa Silva,283.970.422-12,1985-02-25,M,Médio,7275.04,De R$ 4.401 a R$ 8.000,N,2023-01-01
63,4,Ricardo Nascimento,954.969.498-96,1986-11-06,F,Pós-graduação,1969.64,Até R$ 2.640,S,2023-06-07
64,4,Marcos Silva,200.547.337-19,1967-01-13,F,Pós-graduação,4405.71,De R$ 4.401 a R$ 8.000,N,2022-12-20
65,4,Camila Rodrigues,333.464.666-58,1984-07-09,F,Médio,6441.55,De R$ 4.401 a R$ 8.000,N,2023-01-03
66,4,Maria Santos,374.257.489-91,1986-07-01,M,Pós-graduação,6546.0,De R$ 4.401 a R$ 8.000,N,2023-03-15
67,4,Pedro Rodrigues,468.879.376-23,1969-07-23,M,Fundamental,1458.95,Até R$ 2.640,S,2023-04-02
68,4,Larissa Costa,205.126.191-55,2000-04-07,M,Superior,4810.29,De R$ 4.401 a R$ 8.000,N,2022-12-16
69,4,Maria Alves,348.685.633-31,1986-03-08,F,Médio,3779.43,De R$ 2.641 a R$ 4.400,S,2023-02-19
70,4,Fernanda Santos,271.545.382-63,1987-01-06,F,Pós-graduação,2732.53,De R$ 2.641 a R$ 4.400,S,2023-03-15
71,4,Bruno Nascimento,731.300.568-23,1982-07-31,M,Superior,7598.4,De R$ 4.401 a R$ 8.000,S,2023-03-24
72,4,Patrícia Ferreira,550.442.540-93,1989-10-21,M,Superior,6859.62,De R$ 4.401 a R$ 8.000,N,2023-05-16
73,4,Lucas Costa,426.398.852-98,1978-01-07,F,Médio,4248.87,De R$ 2.641 a R$ 4.400,N,2023-03-19
74,4,Patrícia Ferreira,216.677.304-85,1985-02-22,M,Fundamental,6678.76,De R$ 4.401 a R$ 8.000,N,2023-02-04
75,4,Maria Costa,789.611.242-91,1999-05-03,F,Médio,6543.34,De R$ 4.401 a R$ 8.000,N,2023-05-30
76,4,Patrícia Santos,559.712.590-84,1973-10-29,F,Pós-graduação,5949.7,De R$ 4.401 a R$ 8.000,S,2023-03-15
77,4,Maria Santos,887.354.773-95,2008-03-02,F,Médio,5075.5,De R$ 4.401 a R$ 8.000,S,2023-05-06
78,4,Amanda Costa,208.110.200-43,1995-11-07,M,Médio,7761.04,De R$ 4.401 a R$ 8.000,N,2023-03-18
79,4,Vanessa Alves,254.453.125-71,1995-02-02,M,Superior,4134.06,De R$ 2.641 a R$ 4.400,N,2023-01-03
80,4,Fernanda Ferreira,419.451.566-36,1970-05-31,F,Superior,6785.49,De R$ 4.401 a R$ 8.000,N,2023-01-06
81,4,Camila Ferreira,168.407.145-24,1999-04-23,M,Superior,5998.36,De R$ 4.401 a R$ 8.000,S,2023-06-04
82,4,Ricardo Alves,278.665.263-52,1974-09-29,F,Pós-graduação,7495.44,De R$ 4.401 a R$ 8.000,S,2023-03-26
83,4,Felipe Costa,129.855.728-35,1976-07-19,F,Pós-graduação,2141.99,Até R$ 2.640,N,2022-12-14
84,4,Maria Nascimento,204.918.992-78,1979-04-09,M,Superior,2281.65,Até R$ 2.640,N,2023-02-01
85,4,Bruno Alves,754.420.711-59,2001-01-18,F,Fundamental,1620.48,Até R$ 2.640,N,2023-03-13
86,4,Pedro Nascimento,704.186.788-27,2001-01-28,F,Fundamental,5245.01,De R$ 4.401 a R$ 8.000,S,2023-03-01
87,4,Fernanda Alves,497.528.710-27,1970-06-29,F,Pós-graduação,2117.92,Até R$ 2.640,S,2023-04-16
88,4,Lucas Alves,270.601.395-27,2008-03-17,M,Superior,5792.72,De R$ 4.401 a R$ 8.000,N,2023-05-20
89,4,Ana Rodrigues,239.299.934-59,1964-10-22,F,Pós-graduação,7031.76,De R$ 4.401 a R$ 8.000,N,2023-03-29
90,4,Maria Nascimento,131.914.879-38,1999-10-27,F,Fundamental,4318.64,De R$ 2.641 a R$ 4.400,N,2023-02-08
91,4,Camila Nascimento,860.891.884-73,2008-03-25,M,Fundamental,2878.43,De R$ 2.641 a R$ 4.400,N,2023-05-01
92,4,João Rodrigues,659.323.535-23,1992-11-29,M,Superior,4702.71,De R$ 4.401 a R$ 8.000,S,2023-04-07
93,4,Maria Rodrigues,986.220.894-40,1983-07-30,M,Superior,3309.75,De R$ 2.641 a R$ 4.400,N,2023-01-24
94,4,Beatriz Silva,683.459.645-45,1972-06-28,M,Superior,6450.92,De R$ 4.401 a R$ 8.000,N,2023-02-25
95,4,Larissa Santos,238.868.904-62,2011-05-20,M,Superior,2724.87,De R$ 2.641 a R$ 4.400,S,2023-06-10
96,4,Amanda Lima,879.963.792-60,1971-11-27,F,Médio,2597.68,Até R$ 2.640,N,2023-05-22
97,4,Maria Santos,512.627.867-45,1997-02-28,F,Pós-graduação,3501.24,De R$ 2.641 a R$ 4.400,N,2023-03-06
98,4,Maria Rodrigues,750.780.814-55,2012-03-17,M,Pós-graduação,817.81,Até R$ 2.640,S,2023-04-01
99,4,Amanda Souza,445.660.691-26,1979-01-02,F,Superior,4361.95,De R$ 2.641 a R$ 4.400,S,2022-12-24
100,4,Camila Silva,227.978.261-66,1968-12-06,F,Fundamental,5308.49,De R$ 4.401 a R$ 8.000,N,2023-02-02
101,4,Pedro Oliveira,995.997.380-21,1971-11-01,F,Superior,7151.46,De R$ 4.401 a R$ 8.000,S,2023-03-18
102,4,Pedro Lima,539.771.193-22,1974-11-06,M,Médio,1172.87,Até R$ 2.640,N,2023-01-01
103,4,Larissa Rodrigues,109.108.812-53,1971-11-27,M,Pós-graduação,5074.49,De R$ 4.401 a R$ 8.000,S,2023-04-14
104,4,Maria Santos,205.420.476-48,1966-05-09,M,Pós-graduação,2448.42,Até R$ 2.640,S,2023-05-26
105,4,Vanessa Silva,724.765.268-66,1972-10-25,F,Médio,1292.56,Até R$ 2.640,S,2023-03-28
106,4,Maria Santos,243.870.226-85,1999-09-09,F,Superior,6991.73,De R$ 4.401 a R$ 8.000,N,2023-03-03
107,4,Maria Lima,666.715.714-87,1972-07-17,F,Fundamental,2584.06,Até R$ 2.640,N,2023-02-03
108,4,Beatriz Costa,402.761.155-40,2006-06-13,F,Pós-graduação,5169.87,De R$ 4.401 a R$ 8.000,S,2023-02-12
109,4,Maria Alves,112.469.424-26,2004-10-26,F,Pós-graduação,5394.19,De R$ 4.401 a R$ 8.000,N,2023-05-01
110,4,Maria Silva,701.169.114-43,1975-07-02,M,Fundamental,6291.63,De R$ 4.401 a R$ 8.000,S,2023-03-24
111,4,Larissa Costa,533.818.511-20,2005-06-13,M,Superior,2862.71,De R$ 2.641 a R$ 4.400,S,2023-03-02
112,4,Beatriz Oliveira,649.434.500-85,1967-02-02,M,Superior,4481.39,De R$ 4.401 a R$ 8.000,N,2023-02-12
113,4,Felipe Santos,564.726.723-17,1965-03-12,F,Médio,2560.25,Até R$ 2.640,S,2022-12-16
114,4,Lucas Rodrigues,455.635.629-43,1972-04-23,M,Superior,5850.8,De R$ 4.401 a R$ 8.000,S,2023-02-19
115,4,Ana Ferreira,926.539.378-77,1970-08-04,M,Superior,6354.3,De R$ 4.401 a R$ 8.000,S,2023-04-19
116,4,João Rodrigues,979.680.270-57,2000-11-01,M,Superior,4477.63,De R$ 4.401 a R$ 8.000,S,2023-05-08
117,4,Larissa Silva,145.979.983-11,1970-05-07,M,Fundamental,2444.51,Até R$ 2.640,N,2023-03-16
118,4,Lucas Silva,666.922.831-93,1994-05-11,F,Médio,7425.63,De R$ 4.401 a R$ 8.000,N,2023-02-14
119,4,Amanda Souza,945.179.685-57,1997-05-05,M,Fundamental,7394.15,De R$ 4.401 a R$ 8.000,S,2023-02-08
120,4,Patrícia Santos,998.576.986-46,2006-04-09,F,Superior,7866.18,De R$ 4.401 a R$ 8.000,S,2023-05-03
121,4,Beatriz Souza,677.903.411-89,2000-12-22,M,Pós-graduação,857.38,Até R$ 2.640,N,2023-05-13
122,4,Beatriz Alves,878.915.351-29,2004-04-05,M,Pós-graduação,7984.07,De R$ 4.401 a R$ 8.000,S,2023-02-10
123,4,Ana Ferreira,101.877.773-58,2008-08-01,F,Fundamental,3294.25,De R$ 2.641 a R$ 4.400,S,2023-04-27
124,4,João Oliveira,828.386.195-15,1981-05-14,M,Pós-graduação,3822.67,De R$ 2.641 a R$ 4.400,N,2023-04-09
125,4,Larissa Oliveira,752.939.503-19,1967-08-14,M,Pós-graduação,4981.55,De R$ 4.401 a R$ 8.000,S,2023-02-11
126,4,Amanda Costa,817.951.853-51,1986-03-02,F,Pós-graduação,2679.13,De R$ 2.641 a R$ 4.400,N,2023-02-10
127,4,Fernanda Nascimento,211.259.208-31,1966-09-13,F,Pós-graduação,7593.59,De R$ 4.401 a R$ 8.000,N,2023-03-27
128,4,Beatriz Rodrigues,415.574.371-25,1970-10-31,M,Médio,4658.66,De R$ 4.401 a R$ 8.000,N,2023-06-11
129,4,Amanda Oliveira,193.828.354-55,2014-02-15,F,Fundamental,1090.37,Até R$ 2.640,N,2023-02-17
130,4,Patrícia Rodrigues,669.866.663-41,1975-08-07,M,Pós-graduação,1023.79,Até R$ 2.640,S,2023-01-17
131,4,Ricardo Oliveira,302.943.510-57,1970-11-23,M,Superior,886.09,Até R$ 2.640,S,2022-12-18
132,4,Camila Oliveira,194.967.949-52,1965-10-13,M,Fundamental,2223.8,Até R$ 2.640,N,2022-12-25
133,4,Felipe Costa,608.130.491-97,1975-01-26,F,Médio,7453.75,De R$ 4.401 a R$ 8.000,N,2023-02-05
134,4,Camila Oliveira,135.728.734-88,1976-10-15,M,Superior,2779.87,De R$ 2.641 a R$ 4.400,N,2023-03-28
135,4,Maria Souza,492.240.529-35,2009-05-27,M,Fundamental,4249.02,De R$ 2.641 a R$ 4.400,N,2023-03-14
136,4,Bruno Ferreira,679.614.429-59,2003-01-13,F,Médio,4720.53,De R$ 4.401 a R$ 8.000,S,2023-03-04
137,4,Juliana Silva,928.583.642-55,2013-07-27,M,Médio,2376.95,Até R$ 2.640,S,2023-02-14
138,4,João Lima,689.966.916-59,1981-08-20,F,Médio,2718.99,De R$ 2.641 a R$ 4.400,S,2023-02-11
139,4,Marcos Nascimento,128.820.817-55,2013-02-26,M,Médio,3089.63,De R$ 2.641 a R$ 4.400,N,2023-04-30
140,4,João Santos,157.338.716-38,1987-09-23,M,Pós-graduação,2064.01,Até R$ 2.640,S,2023-03-07
141,4,Amanda Oliveira,921.964.989-51,1978-01-27,M,Fundamental,6606.41,De R$ 4.401 a R$ 8.000,S,2023-05-12
142,4,Larissa Ferreira,174.482.821-94,1972-09-15,F,Fundamental,6375.44,De R$ 4.401 a R$ 8.000,N,2023-02-28
143,4,Lucas Costa,910.754.598-93,1988-12-10,F,Médio,1782.45,Até R$ 2.640,N,2023-02-08
144,4,Patrícia Souza,851.805.401-26,2012-11-01,M,Fundamental,6664.07,De R$ 4.401 a R$ 8.000,N,2023-05-07
145,4,Amanda Nascimento,326.754.679-23,1962-11-27,F,Médio,2110.99,Até R$ 2.640,N,2023-01-01
146,4,Amanda Oliveira,751.190.941-95,1981-05-08,F,Pós-graduação,3297.03,De R$ 2.641 a R$ 4.400,S,2023-02-18
147,4,Maria Ferreira,362.905.210-10,1978-10-23,M,Pós-graduação,2596.69,Até R$ 2.640,N,2023-03-30
148,4,Bruno Costa,459.659.484-22,1974-12-03,F,Médio,7168.77,De R$ 4.401 a R$ 8.000,S,2023-04-07
149,4,João Souza,120.426.367-23,1966-08-12,M,Superior,6554.2,De R$ 4.401 a R$ 8.000,S,2023-03-19
150,4,Diego Santos,446.708.728-71,1974-06-08,M,Pós-graduação,6070.29,De R$ 4.401 a R$ 8.000,S,2023-05-17
151,4,Carlos Ferreira,310.294.519-99,1998-12-14,F,Superior,1931.15,Até R$ 2.640,N,2023-02-11
152,4,Vanessa Alves,960.602.257-16,1968-08-08,F,Fundamental,1157.38,Até R$ 2.640,N,2023-01-04
153,4,Rafael Rodrigues,304.199.126-36,1986-06-04,M,Superior,6732.06,De R$ 4.401 a R$ 8.000,S,2023-04-13
154,4,Patrícia Rodrigues,600.776.371-21,1970-05-12,F,Médio,3020.14,De R$ 2.641 a R$ 4.400,N,2023-03-20
155,4,João Souza,550.576.369-38,1993-02-20,F,Fundamental,2143.4,Até R$ 2.640,S,2023-06-09
156,4,Marcos Alves,523.874.703-39,1968-09-03,M,Pós-graduação,1417.09,Até R$ 2.640,N,2023-04-29
157,4,Ricardo Rodrigues,406.180.504-14,2002-08-07,M,Fundamental,4923.54,De R$ 4.401 a R$ 8.000,N,2023-01-26
158,4,Beatriz Oliveira,143.533.180-97,1974-12-30,F,Médio,7799.59,De R$ 4.401 a R$ 8.000,S,2023-05-14
159,4,Maria Santos,497.669.506-80,1983-02-19,F,Superior,3102.2,De R$ 2.641 a R$ 4.400,N,2022-12-16
160,4,Felipe Santos,524.253.251-82,2012-09-17,M,Fundamental,4562.45,De R$ 4.401 a R$ 8.000,S,2023-02-24
161,4,Felipe Souza,492.770.597-83,2008-01-20,F,Fundamental,7136.98,De R$ 4.401 a R$ 8.000,S,2023-02-21
162,4,Rafael Costa,139.505.439-98,1996-02-25,M,Fundamental,1835.74,Até R$ 2.640,N,2023-02-19
163,4,Pedro Souza,387.963.603-99,1993-05-31,M,Médio,945.68,Até R$ 2.640,S,2023-02-27
164,4,Amanda Souza,846.526.719-92,1999-10-02,M,Médio,6373.02,De R$ 4.401 a R$ 8.000,N,2023-02-05
165,4,Larissa Ferreira,940.157.627-30,1996-07-12,M,Superior,6134.8,De R$ 4.401 a R$ 8.000,N,2023-01-16
166,4,Ana Oliveira,297.996.952-35,2007-01-13,M,Médio,7131.19,De R$ 4.401 a R$ 8.000,S,2023-04-08
167,7,Juliana Ferreira,943.575.617-60,1992-04-30,M,Fundamental,5873.36,De R$ 4.401 a R$ 8.000,S,2019-08-30
168,7,Lucas Rodrigues,700.664.458-54,2003-11-07,M,Superior,5077.11,De R$ 4.401 a R$ 8.000,S,2019-08-07
169,7,Lucas Nascimento,898.319.977-38,1962-06-18,M,Médio,3583.27,De R$ 2.641 a R$ 4.400,N,2019-11-09
170,7,Ana Rodrigues,235.762.277-86,1996-09-26,M,Médio,4495.62,De R$ 4.401 a R$ 8.000,N,2019-10-29
171,7,Juliana Costa,485.972.457-68,1987-05-28,F,Médio,5931.73,De R$ 4.401 a R$ 8.000,N,2019-08-12
172,7,Patrícia Nascimento,204.107.623-94,2006-09-16,F,Superior,6735.04,De R$ 4.401 a R$ 8.000,N,2019-11-18
173,7,Amanda Souza,755.432.982-45,1969-09-12,F,Superior,4268.52,De R$ 2.641 a R$ 4.400,S,2019-07-04
174,7,João Nascimento,513.776.427-97,2006-05-29,M,Fundamental,6311.42,De R$ 4.401 a R$ 8.000,N,2019-08-10
175,7,Patrícia Costa,854.136.697-83,1983-04-10,M,Superior,7329.76,De R$ 4.401 a R$ 8.000,S,2019-11-18
176,7,Bruno Ferreira,619.407.965-31,2007-12-18,M,Superior,5395.86,De R$ 4.401 a R$ 8.000,S,2019-09-24
177,7,Diego Oliveira,796.443.770-21,1971-06-24,M,Superior,6134.62,De R$ 4.401 a R$ 8.000,S,2019-08-13
178,7,Amanda Ferreira,366.699.401-69,1997-09-21,M,Pós-graduação,6474.25,De R$ 4.401 a R$ 8.000,S,2019-11-05
179,7,Rafael Santos,583.299.612-25,2012-05-09,F,Superior,4978.25,De R$ 4.401 a R$ 8.000,N,2019-06-09
180,7,Beatriz Ferreira,519.683.568-28,1973-07-11,F,Médio,1789.03,Até R$ 2.640,S,2019-09-28
181,7,Lucas Ferreira,749.159.104-67,1989-11-03,F,Médio,5343.44,De R$ 4.401 a R$ 8.000,S,2019-10-21
182,7,Maria Oliveira,729.544.748-64,1974-03-19,F,Pós-graduação,4324.96,De R$ 2.641 a R$ 4.400,N,2019-09-02
183,7,Beatriz Ferreira,114.429.875-77,1960-06-01,M,Fundamental,1071.62,Até R$ 2.640,S,2019-11-03
184,7,Marcos Souza,232.205.492-74,1982-04-28,F,Médio,2429.11,Até R$ 2.640,S,2019-06-07
185,7,Camila Alves,710.636.445-65,1986-10-02,M,Superior,7628.94,De R$ 4.401 a R$ 8.000,N,2019-08-26
186,7,Patrícia Silva,333.329.844-26,1976-11-26,M,Fundamental,1987.16,Até R$ 2.640,S,2019-06-27
187,7,João Costa,997.755.361-78,1992-11-20,M,Fundamental,5919.99,De R$ 4.401 a R$ 8.000,S,2019-11-10
188,7,Carlos Costa,554.489.226-80,1961-10-08,F,Pós-graduação,1147.29,Até R$ 2.640,S,2019-07-18
189,7,Carlos Alves,376.737.720-99,1960-10-31,M,Pós-graduação,2968.04,De R$ 2.641 a R$ 4.400,S,2019-10-04
190,7,Carlos Rodrigues,303.723.304-43,1970-07-24,M,Superior,2835.49,De R$ 2.641 a R$ 4.400,N,2019-08-10
191,7,Bruno Lima,804.592.438-40,1974-05-22,M,Fundamental,1083.72,Até R$ 2.640,S,2019-06-24
192,7,Fernanda Santos,898.623.176-22,2011-07-05,F,Médio,5616.96,De R$ 4.401 a R$ 8.000,N,2019-08-10
193,7,Carlos Oliveira,995.140.972-47,1983-09-11,F,Superior,4142.8,De R$ 2.641 a R$ 4.400,N,2019-06-25
194,7,João Silva,972.241.779-92,1968-07-09,M,Superior,6928.97,De R$ 4.401 a R$ 8.000,N,2019-09-16
195,7,Maria Ferreira,934.450.287-24,1984-01-26,F,Pós-graduação,7125.02,De R$ 4.401 a R$ 8.000,N,2019-08-04
196,7,Bruno Costa,764.916.270-24,1994-08-09,M,Fundamental,5767.3,De R$ 4.401 a R$ 8.000,S,2019-06-22
197,7,Bruno Nascimento,794.548.285-88,1997-04-28,F,Superior,7360.83,De R$ 4.401 a R$ 8.000,S,2019-11-18
198,7,Bruno Santos,521.551.147-18,1971-09-21,F,Superior,4278.17,De R$ 2.641 a R$ 4.400,S,2019-11-23
199,7,Vanessa Nascimento,329.785.994-53,2007-01-31,M,Pós-graduação,6326.21,De R$ 4.401 a R$ 8.000,S,2019-09-27
200,7,Patrícia Oliveira,959.946.671-88,1991-01-07,M,Fundamental,5578.72,De R$ 4.401 a R$ 8.000,S,2019-10-03
201,7,Lucas Santos,869.603.428-40,2002-02-06,F,Superior,6933.47,De R$ 4.401 a R$ 8.000,S,2019-10-03
202,7,Patrícia Costa,936.340.180-68,1979-12-24,F,Pós-graduação,4763.57,De R$ 4.401 a R$ 8.000,S,2019-10-01
203,7,Bruno Silva,205.513.522-14,2000-02-09,M,Fundamental,3075.64,De R$ 2.641 a R$ 4.400,N,2019-10-04
204,7,Camila Ferreira,472.945.155-38,2010-06-13,F,Superior,2289.33,Até R$ 2.640,N,2019-11-11
205,7,Carlos Santos,877.774.327-10,1992-08-04,F,Superior,5954.58,De R$ 4.401 a R$ 8.000,N,2019-10-14
206,7,Carlos Silva,268.604.243-62,2006-10-30,M,Superior,3492.01,De R$ 2.641 a R$ 4.400,S,2019-07-14
207,7,Patrícia Lima,568.944.900-34,1970-10-31,F,Fundamental,7497.56,De R$ 4.401 a R$ 8.000,N,2019-06-07
208,7,Camila Rodrigues,774.703.616-27,2012-10-28,F,Fundamental,1687.18,Até R$ 2.640,S,2019-10-15
209,7,Bruno Alves,899.281.808-84,1998-10-30,M,Médio,6839.48,De R$ 4.401 a R$ 8.000,S,2019-09-03
210,7,Amanda Alves,493.528.723-98,2013-11-16,M,Superior,5164.36,De R$ 4.401 a R$ 8.000,N,2019-08-22
211,7,Fernanda Oliveira,522.716.816-75,1986-05-23,F,Superior,4060.49,De R$ 2.641 a R$ 4.400,S,2019-07-17
212,7,Pedro Ferreira,788.235.827-93,1978-10-24,M,Superior,5294.01,De R$ 4.401 a R$ 8.000,S,2019-08-25
